"review_id","star_rating","helpful_votes","vine","verified_purchase"
"R1FJKGP86992GA",4,31,"N","Y"
"R3DJ9BMYNPL1E8",2,26,"N","Y"
"R2AZZZ1DOSLHG1",5,52,"N","Y"
"R3PC29LJ4XJDRO",3,120,"N","Y"
"R2HPWGPGZX6DO0",5,20,"N","Y"
"R31LAX6KKR3I0W",3,28,"N","Y"
"R3H8HBAJGDJXN5",5,41,"N","Y"
"R3BRFVMJ25X1V7",4,746,"N","Y"
"R3JSGYP79W38QC",5,19,"N","N"
"R17YTDQ6TYOTY9",1,23,"N","Y"
"R1XQSH764LO7I5",1,67,"N","N"
"R3MN5JZ3EA2VIW",5,21,"N","Y"
"R2YAOIEEI0INAZ",5,27,"N","Y"
"R1B7J3A6MSL09H",5,80,"N","Y"
"R105VTV3CMDMDA",5,33,"N","Y"
"RMGOGJM47KM9W",1,38,"N","Y"
"R3A05VXE7HZEVR",4,30,"N","Y"
"R3VV4BJFAZOGMC",3,28,"N","Y"
"RL6JDEJVGX1X3",1,36,"N","Y"
"R2YJEMERBFV9WA",5,27,"N","N"
"R3QZSP659W59Q8",5,32,"N","Y"
"R5KNKWJNQODFE",5,122,"N","N"
"R24AFYUR6NIFF3",5,50,"N","Y"
"R3FMVDO5U7JWUF",4,18,"N","Y"
"R225OSRQSRRBZJ",5,30,"N","Y"
"R2PFFJHEYML506",5,20,"N","Y"
"R3F3AWKJ6I63D6",5,28,"N","Y"
"R16SAJJSVSBLYQ",5,30,"N","Y"
"R305TH6IX2I7XP",3,29,"N","Y"
"R1M9N47UMCAB4A",3,30,"N","Y"
"RK7PYLX5GV0FB",1,41,"N","Y"
"R3NZJP1BSBQ7TQ",5,33,"N","Y"
"R28J7CO018F1LV",5,22,"N","Y"
"R24STAT05ED833",5,22,"N","Y"
"R2GJILLISZ86TF",5,75,"N","N"
"RQ0Q2Y0OGFURM",3,31,"N","Y"
"R2CQ7QSYZH4JPO",5,24,"N","Y"
"R1ZRVNFU8Z35R5",4,99,"N","Y"
"R2Y916Z3HTCCU2",5,35,"N","Y"
"RRWYWXET0RX9J",5,21,"N","Y"
"R1DHGEAEJFJAKT",1,79,"N","Y"
"R35W4OW9TDHLLJ",4,24,"N","Y"
"R2XN5S9KAI62WX",5,25,"N","Y"
"R2WHMN9Y840XS7",1,122,"N","N"
"R2H9R99PLYCFZT",4,34,"N","Y"
"RZTYN01R4UIR3",5,20,"N","Y"
"R21YRVMOCN12K1",5,68,"N","Y"
"RBV5LH7BA40Y0",2,23,"N","Y"
"RXEM06XLJ7Y7W",1,68,"N","N"
"R1ENM7LLKLDDAQ",5,28,"N","Y"
"R3QDT2M2B5CIXH",3,32,"N","Y"
"R1JJPNH1J0GK9W",5,18,"N","Y"
"R30AKVJKHE4PFC",4,47,"N","Y"
"R2U5SU6KSJ51KT",4,95,"N","Y"
"RDF6BNACN93PG",5,35,"N","Y"
"RCNSXPMWAVZBG",5,74,"N","Y"
"R383R7QY3O1JI1",5,103,"N","Y"
"R52OJCAUYJP1C",5,27,"N","N"
"R2U0FN62L4VTY7",5,70,"N","N"
"R27L7L72WVZH4Y",1,19,"N","Y"
"R24B2IURUO0L81",5,20,"N","N"
"R17BLX2HA7SN4R",5,23,"N","Y"
"RXQYBVKKYW43F",5,21,"N","Y"
"R2P0HLP2EMLG6M",1,46,"N","Y"
"R2F9TG8950DEQM",5,17,"N","Y"
"R2GPG9MQDLFFK7",5,23,"N","N"
"RLF0JX2DZMU5L",1,26,"N","Y"
"R9D9UJQLH81PW",1,49,"N","Y"
"R1D3ZLXISG68ZB",1,27,"N","N"
"R2NJI7T2LD6XO3",5,27,"N","N"
"R2IBC35IXGFNSO",3,19,"N","N"
"R3KS3UO5M6O62S",5,75,"N","N"
"R3E073B115SUQF",4,61,"N","Y"
"RP9UAI02U16GQ",5,40,"N","N"
"RJ4QIJXPFYLLU",1,18,"N","Y"
"R6P9O89CW2PPO",5,76,"N","Y"
"R2M810VOWDTE54",5,24,"N","Y"
"R1823RU72F66V",1,16,"N","Y"
"R2L9N1O8776EVM",5,18,"N","Y"
"R1XKFKYR7PVT9P",5,35,"N","Y"
"R594H58O05ENV",3,17,"N","Y"
"RY8HD9FKJR4AY",5,24,"N","N"
"R2SD42VC76ZELW",1,24,"N","Y"
"R2FM2FJJZ7A6PT",5,27,"N","Y"
"R12NTB0UU0IAQ0",3,19,"N","N"
"RLVMVXO724KCM",5,57,"N","N"
"R292K8E6Z7S691",5,52,"N","Y"
"R5SOOCZPH23KC",5,32,"N","Y"
"R3VWSZ3TLSB1K7",5,22,"N","N"
"RS6CJI6AQGZ2M",4,41,"N","Y"
"RFWX29D6SUMWB",1,149,"N","Y"
"R2FOF2FJQAXZ6S",5,18,"N","N"
"R1518D50WYOGZO",3,56,"N","N"
"R2WHZZIOI7HKNL",5,30,"N","Y"
"R6384NR7640OX",5,15,"N","Y"
"R27ZX3AG4UUSXF",4,73,"N","Y"
"R19A8FPLQ38HGI",2,241,"N","Y"
"R2QOBZVK0D4NDG",2,41,"N","Y"
"R1J9TRIX7SG99I",5,34,"N","Y"
"RPT12QF9IDGQ",5,27,"N","Y"
"R4FG1N5S3U4V6",5,58,"N","Y"
"R1IM1YKBPPQ3QW",5,26,"N","Y"
"RBK48O1JF8BCK",5,20,"N","Y"
"R2P4TO35OY8FZ3",5,59,"N","Y"
"R2RZCML359NR36",5,62,"N","Y"
"R2RBI83ZO5T4NV",5,26,"N","Y"
"R3ELYW99ZU86AR",1,34,"N","Y"
"R1Z2WUJGI0F6SW",3,24,"N","N"
"R2ND5VIYAQ37MO",4,18,"N","Y"
"RR9493LDS30JT",5,25,"N","N"
"R1ZQQLF97FOKI",5,63,"N","Y"
"R2CO448Y2ALRZD",1,27,"N","Y"
"R2861YGK63QERT",3,28,"N","N"
"RSD57QBTZVO3I",5,43,"N","N"
"R15APVEF4ET9UY",4,20,"N","Y"
"R1M8WJHLNK3WWG",5,18,"N","Y"
"RF124DLJEV8WF",5,23,"N","Y"
"R20JGZ3N088MWI",5,32,"N","Y"
"R33KT6L1DG1OKZ",5,16,"N","N"
"RG9LGZNQPRJY4",5,51,"N","Y"
"RC04HL7BE2UN4",5,36,"N","N"
"R3KZWY1ET5W3A",4,46,"N","Y"
"R13BL2ZMZZ5V5A",2,19,"N","Y"
"R1UQOPT1DT4HA0",2,33,"N","Y"
"R2BSWX3GG8ZH27",4,22,"N","Y"
"R2JDM6KR8M92XT",1,31,"N","N"
"R1LLL1EFVU7ULJ",5,33,"N","Y"
"R3SBPUXYADQAEW",5,31,"N","Y"
"R1SJHRE12PLIKZ",5,24,"N","Y"
"R2TJQEWLY5IYR6",5,23,"N","Y"
"R2RP7Z9JVH594C",5,27,"N","Y"
"R1KRZP66S0HPBF",1,32,"N","Y"
"R2BPMY0UIDV8E4",5,20,"N","Y"
"R24EJOYFHITCJ9",1,21,"N","N"
"R18B3YB89YRH13",5,37,"N","Y"
"R2B584HQWJ84R3",1,40,"N","Y"
"R2SA6QEYD5VQ02",5,79,"N","N"
"R269PSG1WOKAA6",3,55,"N","Y"
"R3JDZHGOZXL3EI",5,88,"N","Y"
"R1CI74URS0KQOH",5,81,"N","Y"
"R1XO1T8ETYU81O",5,300,"N","Y"
"RBFFT2PHJA7D0",5,29,"N","N"
"R2UO4JBMB4M2M0",2,19,"N","Y"
"R3TAUVT1BYDQUT",5,31,"N","N"
"R1JX3VUMF9DGXD",1,27,"N","Y"
"R386YUSX4I4FRH",5,21,"N","N"
"R37EDTDSGQ2ZQ6",4,67,"N","Y"
"R10U7MCUOJM1CZ",1,22,"N","Y"
"R11PUCJD3BD8AG",1,18,"N","Y"
"R1VQFMY5CZ5FXG",1,35,"N","Y"
"REWKKTO6BU1YH",5,80,"N","Y"
"R1SHNWWKOTW4K2",4,29,"N","Y"
"R3HPW7QGZKY9OT",5,43,"N","N"
"R1T98HSIFO02GZ",5,76,"N","Y"
"R2NKRZUU3E4YJN",2,36,"N","N"
"R1D0S7Z2877F2L",5,20,"N","Y"
"R8PMMBKZF2GJ",4,20,"N","Y"
"R3L4YXYKWJTT7Q",4,26,"N","Y"
"R39NXBGNPTFQTP",5,32,"N","Y"
"R1RXNBJRCMON2V",5,239,"N","N"
"R2P21SLKWM7SHU",4,31,"N","Y"
"R3O5ZNTHY6DT2M",5,25,"N","N"
"R2IAWSSOXFRXE4",5,24,"N","Y"
"R343B8R2E2VOBA",5,46,"N","N"
"R3ALAF7R6KP5WY",5,32,"N","N"
"R1ISV0UUAWF16R",5,21,"N","Y"
"RE36XMX3LVKX4",5,26,"N","Y"
"R1LZG4EX7UISC9",5,23,"N","N"
"RMCW23K3PPZ6W",5,19,"N","N"
"R1Q57SOP52BBXL",5,59,"N","Y"
"R377MZQ05AR118",5,22,"N","Y"
"R3R1M9MCD9ZI6J",5,16,"N","N"
"R15LEIFRFA36PT",5,22,"N","Y"
"R22TEFKZ6UI0ZV",5,27,"N","Y"
"RF4C3BACYEDOX",5,21,"N","Y"
"R171RSMHR7KDT3",5,91,"N","Y"
"R13Y99FZLST7W3",5,293,"N","N"
"R2EJ6AJRL66S5N",5,39,"N","Y"
"R2IRP2836QQ3QP",3,52,"N","Y"
"R2NTR1XKOLGK9C",5,23,"N","Y"
"R9PDRGHFKSKT6",5,125,"N","N"
"R38G6TZTOFQ04S",1,24,"N","Y"
"R2TN1ZLLZIVZ4L",5,30,"N","Y"
"R3PAFXWIXVR93I",5,49,"N","Y"
"R2MVSBZYZ3ACAI",4,21,"N","Y"
"R37ERSONWU7Q31",5,22,"N","Y"
"R1MKK7XPJ63L7A",5,44,"N","Y"
"R3CJRYTMH6ZAMW",5,22,"N","N"
"RHL1N1OP0GVIB",1,150,"N","Y"
"R3URBJ70CASJMX",5,24,"N","Y"
"RW1YM77GD4G8G",5,31,"N","Y"
"R3CSYVB9VZZ6P1",5,213,"N","Y"
"R8YVS426HCJNJ",4,30,"N","Y"
"R20TTRH9XHFWQ1",5,29,"N","Y"
"R3UBL54WZDLQUS",5,32,"N","Y"
"R2YD8CU3MB5HS6",4,49,"N","Y"
"R31BWDMWIMZ8PX",4,32,"N","Y"
"R240FQU979HGBT",5,20,"N","Y"
"RD08MY4UMHO3P",5,46,"N","Y"
"R1WN7SH1LM61EX",5,45,"N","Y"
"R7GP3U3IGGU33",5,22,"N","Y"
"R1CRIT0BFJ4LUY",5,48,"N","N"
"RE21NV880BW9U",5,40,"N","N"
"R36L4KPPKDGMOI",5,39,"N","Y"
"RUD3HDPUP40BT",4,24,"N","Y"
"R35BQPN61540WG",5,33,"N","N"
"R24L1A6WTIIUHP",5,17,"N","Y"
"R3KPC0NBUDASX3",5,25,"Y","N"
"R2PJ7UZKX0KPEJ",3,88,"N","Y"
"R3SWNB8C93ZJSQ",1,16,"N","Y"
"R1TS2LYAZVENSX",5,37,"N","Y"
"R3VMVJNROF6OL4",5,42,"N","Y"
"RWQ2RXQQZ8UI9",5,27,"N","N"
"R3MKD2Y8P8PQI1",3,19,"N","N"
"R2GHXD9QL4UN5",1,39,"N","Y"
"RIY7F2DZ2GCVR",5,15,"N","N"
"R21A9KELYE4CI1",4,29,"N","Y"
"R2L5E07ZCS8OEA",4,18,"N","Y"
"R3UQATNKAXX4WU",1,48,"N","N"
"R15AKAMXSKCJT9",5,46,"N","N"
"R3N3CSWGA5O8S6",5,31,"N","Y"
"R23YQ8BVO8E6UX",4,63,"N","Y"
"R3EQ45VONYA3J",5,37,"N","Y"
"RY835HIGB63JO",5,40,"N","Y"
"RQ9W0YVAAK6QZ",5,94,"N","Y"
"R2MNZIPBEBDNPR",2,21,"N","N"
"RGNFP087XXQ2D",5,55,"N","Y"
"R34TUFYYTZXPZ1",5,19,"N","Y"
"R3EDIIDDG9RYQV",4,26,"N","Y"
"R25MEQJTTYKXCX",1,42,"N","Y"
"R1977X9C1AHRAH",5,37,"N","Y"
"R2FBKRR935FUTV",5,24,"N","N"
"R2UY5HXEQB42SF",5,18,"N","Y"
"R1938ERMYOSQ3K",3,22,"N","Y"
"R3ST28HOZ0PNJB",5,14,"N","Y"
"R1LTL6FXUUNPAT",5,263,"N","N"
"R22VGY39HHFDK7",1,43,"N","Y"
"RLU9JITSI3FV",5,34,"N","N"
"R27W963F67R5N4",5,21,"N","N"
"R10X6ERHXIER1W",3,42,"N","Y"
"R3S7UYTJB9HPG5",5,21,"N","Y"
"R1AXPPJV2FSUZX",5,25,"N","N"
"R2LW1F8LA7GY3X",5,76,"N","Y"
"R2TGJAPYZ9RKDM",2,25,"N","N"
"RSNL2UANH2Z86",2,31,"N","Y"
"R2J4QQYUS3BKT",5,26,"N","Y"
"RCUIN80VNAAMY",4,20,"N","N"
"R1ZUHGLDLYQHZ9",5,46,"N","Y"
"R24FMA5XNA1LIG",2,43,"N","Y"
"R3N8FIRW301E7",1,14,"N","Y"
"RWC36OEUNRCYS",5,24,"N","Y"
"R3GPC86FUXK0RU",1,22,"N","Y"
"R3OIJGT5Z7XC38",2,31,"N","Y"
"R1VWHGO9SGTY8S",4,51,"N","Y"
"R1D7T8CWUZ1OLY",5,26,"N","Y"
"R1L7FM14MHX87E",1,67,"N","Y"
"R5QVIAMTFW8GE",3,33,"N","Y"
"R1RHAOW4OUPGQU",5,20,"N","Y"
"R1FG1BXLQW9KBA",5,21,"N","N"
"R81UMLTUC9RMF",5,20,"N","Y"
"R3FOTJ3W4MLOXW",5,11,"N","Y"
"R3VPS9PTKQ2HKO",4,82,"N","N"
"R22LT3DT7J0QEQ",5,62,"N","Y"
"RD09NPBUDVL8L",3,22,"N","Y"
"R25Z5029PN3EMS",5,21,"N","Y"
"RBA9UL0885VSZ",5,83,"N","Y"
"R1QEF50DVZHNFG",5,49,"N","Y"
"R1LLEPTIJ7GM78",5,25,"N","N"
"R2WM40EA2A5C2X",5,79,"N","Y"
"R2AILPO0I8X9OA",1,17,"N","Y"
"R3175MZMPBQFPL",3,50,"N","Y"
"R5R4NBZLP10KG",2,34,"N","Y"
"RXEEY43CS1TPJ",1,24,"N","Y"
"R2AKOSPRC6BYWB",5,72,"N","Y"
"RUBJ3CKKDGU1G",3,39,"N","Y"
"R4KHD3K14QRSJ",5,19,"N","Y"
"R1MEYTEEKZ9W9T",5,30,"N","Y"
"R2WCH9H59GLBCD",1,24,"N","Y"
"R16FDHKA75HR2Z",1,22,"N","Y"
"R37NEJ5TIVZKYG",5,19,"N","Y"
"R1MMOXOSF74NTP",5,34,"N","Y"
"R1NNZPKMXR2HOH",5,21,"N","N"
"R20XYS81MYV5JI",1,38,"N","Y"
"R3QVH4S12JVVT8",5,23,"N","Y"
"R3CM4U1WM956JA",5,31,"N","N"
"R13ZQWRLPMUMV8",5,72,"N","Y"
"RRG89UDYLWHJY",5,40,"N","Y"
"R2XR6ZPC9RIWXR",1,21,"N","Y"
"R1M43LF0GOTMEC",5,20,"N","Y"
"R1YBOO3RNZKB67",4,78,"N","Y"
"R3VCCOY65PAEM2",1,72,"N","Y"
"R2EAQYC9I5UOYX",5,19,"N","N"
"R38KH7NSB7FNJP",2,127,"N","Y"
"R1YEPGKMAVC62S",5,26,"N","Y"
"R37B7O8NXFHUMI",5,24,"N","N"
"R17I5BXJQCJ00K",1,77,"N","Y"
"R33JYM1OUX6M7D",5,125,"N","Y"
"R28IVGZ2ZR9V1G",4,60,"N","Y"
"RO1IM9BBDZWKB",5,56,"N","N"
"R2O0RTFBOSOBUY",5,20,"N","N"
"R344GS2G1PYRP6",1,16,"N","Y"
"R1GIBN568ZNT66",3,97,"N","Y"
"RHF4PP3IYB6LO",5,32,"N","N"
"R19O6AK2SQ8P60",3,19,"N","Y"
"R1JKQ12Y2988CG",1,31,"N","Y"
"RBSIWBAI90IPV",4,67,"N","Y"
"R19ZBT7JLFM6VS",1,17,"N","N"
"R2JQ08I65OMPCU",5,57,"N","Y"
"R1PSZVSJ0E4P4N",4,49,"N","Y"
"R11MC8J780ORKF",4,47,"N","Y"
"RC4J6LC1UOIBP",5,66,"N","Y"
"R2FKJTGPLPF5FQ",3,17,"N","Y"
"R15XD1J4L65E55",5,34,"N","Y"
"R271T957GR3FBG",1,19,"N","Y"
"RJ5OZC0LWBZTJ",5,20,"N","Y"
"R29F2W9MH0N6U2",5,27,"N","Y"
"R348ZBIFM56ZLL",5,20,"N","N"
"R1BDKEPUI9Q51U",1,60,"N","Y"
"RKMRTY2Z2XQKY",5,18,"N","N"
"R2AH5VD08NXKQ0",4,33,"N","Y"
"RD8ARQLVAU7OO",3,62,"N","Y"
"R2HB7V95CBB7SF",4,27,"N","Y"
"R383E7VWS21946",4,80,"N","Y"
"R38XTMZ4VDNOPB",5,32,"N","Y"
"R3B96FXCFHT6YJ",5,20,"N","Y"
"R3QDYASUCPUK3O",5,31,"N","Y"
"R3MTUNRA0CQ29F",3,23,"N","Y"
"R1YDGP2VVCRFCN",1,17,"N","N"
"R27JXIYX3PKCHW",1,76,"N","Y"
"R23FW7VGOSZT3V",1,180,"N","Y"
"R21YNQN0QFEYH",5,32,"N","Y"
"RE8ACY913YEMI",4,30,"N","Y"
"R1MLS2X2DKU43G",5,21,"N","Y"
"R2ZV7AWLFWSESJ",1,25,"N","Y"
"R7OWQS8RBZNY6",2,14,"N","N"
"R3QXBV6JUPGM6Q",5,31,"N","N"
"R3H6DWR9YTKNWK",4,20,"N","N"
"R3SY8UYT76P025",2,23,"N","Y"
"R3F0USH8ZUPOCY",5,35,"N","Y"
"R1ACEHBH1G2DZE",1,26,"N","Y"
"RD2GSWT7IHHIZ",1,37,"N","Y"
"R3FY2ECRRYR32H",5,23,"N","Y"
"R2Q9RBTE7N6564",1,21,"N","N"
"R1LAXJRGFIKPUZ",1,100,"N","N"
"R2PNIDPNY0FUGA",1,17,"N","Y"
"R2KJXXT2G80LJY",5,92,"N","Y"
"R1EV9OXIYEG57X",4,44,"N","Y"
"RC8C5QG7B8EM2",4,54,"N","Y"
"R1TLSE2LLSMXR",1,32,"N","N"
"RKQ68F2GUU717",1,60,"N","Y"
"R2F5O9XTER2B9Y",5,23,"N","Y"
"R19B88I9FNUG7C",5,22,"N","Y"
"R276LMEW7IC0EA",5,32,"N","Y"
"R3RJS207VQI0C1",5,16,"N","Y"
"RS324YERYEAUC",4,19,"N","N"
"R9MVCJYPNABLT",5,78,"N","Y"
"R8QFHAUIBTDM9",5,25,"N","Y"
"RG6931WMXS59H",3,16,"N","N"
"R347WB64LK8BYP",1,35,"N","Y"
"R28MAI3GY893SE",5,26,"N","Y"
"R3BART5YQ8W3J2",1,21,"N","Y"
"R2TOGUA41DROY",1,21,"N","Y"
"RSJ4JU02LSRVG",5,52,"N","Y"
"R26VG4ZTS1GD7G",5,22,"N","Y"
"R1KMGG7OYIMTDB",5,39,"N","Y"
"R2AHTPCAND9045",2,29,"N","Y"
"R2FWAO98TZYAPA",5,21,"N","Y"
"R1D3JDFOTCGSDH",5,31,"N","Y"
"R3BYRHFSOFOM04",1,16,"N","Y"
"R2SGFKQD48CV8F",5,32,"N","Y"
"R208WVOE6H9MS2",5,19,"N","Y"
"R1YS4VFM3GZJV5",5,44,"N","Y"
"R87PJNVG0T1KG",5,35,"N","N"
"R13NYDW0A62B91",5,84,"N","Y"
"R2EVUWB4PD8BQX",1,44,"N","N"
"R1QPH6258BDQIB",5,82,"N","N"
"RGJAHPXGNERHB",5,19,"N","Y"
"R2U85J2HJOATO0",5,21,"N","Y"
"R29597M8TZ6OLS",5,34,"N","Y"
"R267CF0SEZ8IPI",2,42,"N","Y"
"RHAYMILF26TPX",1,19,"N","Y"
"R36WUARI65MJLC",2,78,"N","N"
"R1RWEREMTPR30K",5,24,"N","Y"
"R1QNEFZ4TF5FES",5,70,"N","N"
"R2DK4BIVI18TN7",2,22,"N","Y"
"R2CAD08STA9STC",5,21,"N","N"
"R3PHIP9PH4PGTI",1,21,"N","Y"
"R3EGLC6VF6C3R3",5,18,"N","Y"
"R36TOWQLFRGVZ7",5,23,"N","N"
"R1L20466XLM3B4",5,22,"N","Y"
"R1E8SOT8C10XXT",4,22,"N","N"
"R2ZU7Y8T734M4B",5,21,"N","Y"
"R39C1NWW65YA1A",5,43,"N","Y"
"R2M4WS0TXZFEZ8",5,20,"N","Y"
"R2L5LSXKWONITV",5,25,"N","N"
"R3MR7O1WHSVFGA",5,88,"N","Y"
"R1YCKBZ9D2WY3A",5,19,"N","N"
"R2V7YEUA42PSQU",1,37,"N","Y"
"RCUN9QSYBMX9W",4,39,"N","Y"
"RURAW0GTDAVHT",3,80,"N","Y"
"R36H05KFBWBNNA",3,21,"N","N"
"R15C313T8I3VXP",5,70,"N","Y"
"R32RKNK7BL1GK5",5,29,"N","Y"
"R2JF5YIAVUGV3",5,22,"N","Y"
"RDPQ04PBOJYIV",5,20,"N","Y"
"R1ATYC4HP7I05G",1,16,"N","Y"
"R1C67ZJ169SIQM",5,90,"N","Y"
"R23FPVR8D2V7SH",5,32,"N","Y"
"RCYSHCMLZF095",5,21,"N","Y"
"R1HHVYHYHJ9JBM",5,26,"N","N"
"R26VLQPTK6KFCZ",1,49,"N","Y"
"R34JBC2WLBRXUG",5,20,"N","Y"
"R2XPPPYEMXNUVQ",3,85,"N","Y"
"R35X197NE8AGLQ",1,27,"N","Y"
"RY1NTIJ6PCY1U",5,65,"N","Y"
"R19Y80ZIX1DO8Z",5,321,"N","Y"
"R2SYEG4VM01KG8",5,48,"N","Y"
"R3BIGYWIH3IETD",3,24,"N","Y"
"R3UUJYFWYUAGDL",5,47,"N","Y"
"R2983YYEASCIN5",5,30,"N","Y"
"R35IDNBWXIHRPH",1,49,"N","N"
"R312K3YB4TL7YR",5,50,"N","Y"
"R21DLX3AK1NMTM",5,35,"N","N"
"R7PKWACJJSU4V",1,48,"N","Y"
"R2FSQPO67SESFX",5,31,"N","Y"
"R1PVP5ZWAKGP81",5,30,"N","Y"
"RZ0X9RJQ7FX4S",5,67,"N","Y"
"R2AP6S0TT2V51C",3,37,"N","Y"
"R2WABDBQ2GNO11",5,33,"N","Y"
"R2AXR7OXL6169A",5,72,"N","N"
"R1DBBIEEZJY0QL",5,22,"N","Y"
"RGXQC1Y7E76DA",5,20,"N","Y"
"R3AUT82ZJ49FIS",2,33,"N","N"
"R6UTXY1IAKP7K",1,38,"N","Y"
"R3FW6ZVF1IUHU4",5,55,"N","Y"
"R3055QIMWYD39L",5,32,"N","Y"
"RIG6D0DMJLKK1",1,19,"N","Y"
"R3V7N1VWUZLHHE",4,23,"N","Y"
"R39KUGS7TSMR35",3,34,"N","N"
"R2VXH5ZFMKL9OD",3,198,"N","N"
"R1XH1SZ03SEYKY",5,16,"N","Y"
"R3BM3K0AU817M7",5,26,"N","Y"
"R32H4VLAHBTFDR",5,203,"N","N"
"R1YYOIQ163M0D2",1,18,"N","Y"
"RFTK4TJ6KKX4L",5,28,"N","Y"
"R2SNCSNWE9TXY3",4,20,"N","N"
"RWUQ2DTVCJNMF",5,35,"N","N"
"R1VCHDYJ8GGA41",5,20,"N","N"
"R3L1I614J0LVME",5,56,"N","N"
"R16TUYIQ80GAQQ",5,31,"N","Y"
"R3NVG01IUQIMCC",5,26,"N","Y"
"R38P4J65S3L2W7",5,62,"N","Y"
"R6N8BPQA3AQ8J",5,161,"N","Y"
"R1ET2OL0PCJMJ8",4,28,"N","Y"
"R2TQR4M2YRXUXP",5,18,"N","Y"
"RDIYKEVWX9C7S",1,20,"N","N"
"R38F6VDJZAKBYB",1,19,"N","Y"
"RM71I46TFHX06",1,32,"N","Y"
"R207SAXE1YHZWT",5,30,"N","Y"
"R3EO4JVKIOVTI1",1,27,"N","Y"
"R2UDF3UJWQ4CA1",1,19,"N","Y"
"R2WVSOBQHKMGB9",5,22,"N","N"
"R27YVYBSZ3QEW6",5,40,"N","Y"
"R6BTHYL8CP524",5,73,"N","N"
"R7LJ018XMZSGB",5,30,"N","Y"
"R2D6LBM9ENCGY1",5,16,"N","Y"
"R2N2UDAQWRWHPN",3,121,"N","Y"
"RDCHM2CGSIS7P",5,26,"N","Y"
"R286E46IU6L7US",1,91,"N","Y"
"R1OOD0N0HZW8SS",4,29,"N","Y"
"RKR0AZDKDXJCE",5,59,"N","Y"
"R2T0YSPP7IHAHE",4,19,"N","Y"
"R3HXD9LMUBJ2UR",1,42,"N","Y"
"R29BW9IRTKGISS",5,18,"N","N"
"R2MNCS43H4CE5Z",2,37,"N","Y"
"R15JTR4P5XCJMQ",5,19,"N","Y"
"R3NQKV500FQ5CR",5,19,"N","Y"
"R3IMEX7ASZE37Z",5,20,"N","Y"
"R2HR77WQEB2DDS",5,26,"N","Y"
"R11VTUZ7KHD9VY",5,32,"N","Y"
"R3S6IHL9E00YQE",5,21,"N","N"
"R31C2H4WH1FRO5",5,22,"N","N"
"R1TLBRTTDQ0GGG",1,20,"N","Y"
"R2P2Y5C0GKXO8S",5,22,"N","Y"
"RTJIJE8130S3M",5,501,"N","Y"
"R3K4ESCBJ30VK2",5,45,"N","Y"
"R6CON4H6D95GO",5,32,"N","Y"
"RIY5AGMP2XJ4C",5,24,"N","Y"
"R29POJ7ONHST01",1,18,"N","Y"
"R8E3ZZV4Q0ERV",5,16,"N","N"
"R34JUZZ13RVB9P",3,18,"N","Y"
